Keyword,Type,Comment,Suitable default,Example values,Data model meta member name,Notes
WCSAXES,int,Number of World Coordinate System axes,,"2, 3",model.meta.wcsinfo.wcsaxes,"imaging = 2, spectral = 3"
RADESYS,str,Name of the coordinate ref frame,'ICRS',,model.meta.coordinates.reference_frame,
V2_REF,flt,Telescope v2 coordinate of ref point (arcsec),,-290.1,model.meta.wcsinfo.v2_ref,Source is SIAF: V2_REF for aperture in use
V3_REF,flt,Telescope v3 coordinate of ref point (arcsec),,-697.5,model.meta.wcsinfo.v3_ref,Source is SIAF: V3_REF for aperture in use
VPARITY,int,Relative sense of rotation between Ideal xy and V2V3,,"1, -1",model.meta.wcsinfo.vparity,Source is SIAF: VIdlParity for aperture in use
V3I_YANG,flt,Angle from V3 axis to Ideal y axis (deg),,5.12345,model.meta.wcsinfo.v3yangle,Source is SIAF: V3IdlYAngle for aperture in use
RA_REF,flt,Right ascension of the reference point (deg),,80.4875,model.meta.wcsinfo.ra_ref,
DEC_REF,flt,Declination of the reference point (deg),,-69.498333,model.meta.wcsinfo.dec_ref,
ROLL_REF,flt,Telescope roll angle of V3 at ref point (deg),0,0.032538833,model.meta.wcsinfo.roll_ref,
CRVAL1,flt,RA at the reference pixel (deg),,-69.498333,model.meta.wcsinfo.crval1,Not needed by cal pipeline. For FITS WCS compatibility only.
CRVAL2,flt,Dec at the reference pixel (deg),,0.032538833,model.meta.wcsinfo.crval2,Not needed by cal pipeline. For FITS WCS compatibility only.
CRPIX1,flt,axis 1 coordinate of the reference pixel,,1024.5,model.meta.wcsinfo.crpix1,Not needed by cal pipeline. For FITS WCS compatibility only.
CRPIX2,flt,axis 2 coordinate of the reference pixel,,1024.5,model.meta.wcsinfo.crpix2,Not needed by cal pipeline. For FITS WCS compatibility only.
CDELT1,flt,first axis increment per pixel (deg),,3.06E-05,model.meta.wcsinfo.cdelt1,Imaging modes only.
CDELT2,flt,second axis increment per pixel (deg),,3.06E-05,model.meta.wcsinfo.cdelt2,Imaging modes only.
PC1_1,flt,linear transformation matrix element,,,model.meta.wcsinfo.pc1_1,Imaging modes only.
PC1_2,flt,linear transformation matrix element,,,model.meta.wcsinfo.pc1_2,Imaging modes only.
PC2_1,flt,linear transformation matrix element,,,model.meta.wcsinfo.pc2_1,Imaging modes only.
PC2_2,flt,linear transformation matrix element,,,model.meta.wcsinfo.pc2_2,Imaging modes only.
CTYPE1,str,first axis coordinate type,'RA---TAN',,model.meta.wcsinfo.ctype1,Not needed by cal pipeline. For FITS WCS compatibility only.
CTYPE2,str,second axis coordinate type,'DEC--TAN',,model.meta.wcsinfo.ctype2,Not needed by cal pipeline. For FITS WCS compatibility only.
CTYPE3,str,third axis coordinate type,'WAVE',,model.meta.wcsinfo.ctype3,Not needed by cal pipeline. For FITS WCS compatibility only. Only for spectroscopic exposures.
CUNIT1,str,first axis units,'deg',,model.meta.wcsinfo.cunit1,Not needed by cal pipeline. For FITS WCS compatibility only.
CUNIT2,str,second axis units,'deg',,model.meta.wcsinfo.cunit2,Not needed by cal pipeline. For FITS WCS compatibility only.
CUNIT3,str,third axis units,'microns',,model.meta.wcsinfo.cunit3,Not needed by cal pipeline. For FITS WCS compatibility only. Only for spectroscopic exposures.
